As Of,NAV per Share
2023-10-10,73.74
2023-10-09,73.33
2023-10-06,73.32
2023-10-05,72.89
2023-10-04,73.18
2023-10-03,73.10
2023-10-02,73.86
2023-09-29,74.20
2023-09-28,74.24
2023-09-27,73.94
2023-09-26,73.71
2023-09-25,74.00
2023-09-22,74.02
2023-09-21,74.12
2023-09-20,74.78
2023-09-19,75.02
2023-09-18,75.17
2023-09-15,75.40
2023-09-14,75.72
2023-09-13,75.43
2023-09-12,75.57
2023-09-11,75.63
2023-09-08,75.49
2023-09-07,75.54
2023-09-06,75.87
2023-09-05,75.99
2023-09-01,76.21
2023-08-31,76.07
2023-08-30,75.96
2023-08-29,75.73
2023-08-28,75.06
2023-08-25,74.95
2023-08-24,74.72
2023-08-23,75.20
2023-08-22,74.93
2023-08-21,75.02
2023-08-18,74.74
2023-08-17,74.86
2023-08-16,75.44
2023-08-15,75.82
2023-08-14,76.28
2023-08-11,76.02
2023-08-10,76.10
2023-08-09,76.14
2023-08-08,76.37
2023-08-07,76.68
2023-08-04,76.57
2023-08-03,76.83
2023-08-02,76.81
2023-08-01,77.72
2023-07-31,78.17
2023-07-28,77.79
2023-07-27,77.29
2023-07-26,77.54
2023-07-25,77.37
2023-07-24,77.33
2023-07-21,77.39
2023-07-20,77.40
2023-07-19,77.84
2023-07-18,77.82
2023-07-17,77.49
2023-07-14,77.09
2023-07-13,77.42
2023-07-12,76.92
2023-07-11,76.82
2023-07-10,76.47
2023-07-07,75.94
2023-07-06,75.67
2023-07-05,76.28
2023-07-03,76.27
2023-06-30,76.12
2023-06-29,75.67
2023-06-28,75.47
2023-06-27,75.19
2023-06-26,74.59
2023-06-23,74.64
2023-06-22,75.12
2023-06-21,75.05
2023-06-20,75.28
2023-06-16,75.37
2023-06-15,75.43
2023-06-14,75.05
2023-06-13,75.06
2023-06-12,74.60
2023-06-09,74.15
2023-06-08,74.26
2023-06-07,74.04
2023-06-06,74.04
2023-06-05,73.63
2023-06-02,73.46
2023-06-01,72.73
2023-05-31,72.35
2023-05-30,72.42
2023-05-26,72.42
2023-05-25,72.12
2023-05-24,72.16
2023-05-23,72.24
2023-05-22,72.59
2023-05-19,72.25
2023-05-18,72.40
2023-05-17,72.22
2023-05-16,71.79
2023-05-15,72.16
2023-05-12,71.83
2023-05-11,71.91
2023-05-10,72.03
2023-05-09,71.68
2023-05-08,71.78
2023-05-05,71.49
2023-05-04,70.80
2023-05-03,70.87
2023-05-02,70.93
2023-05-01,71.44
2023-04-28,71.47
2023-04-27,71.31
2023-04-26,71.20
2023-04-25,71.37
2023-04-24,72.12
2023-04-21,72.20
2023-04-20,72.19
2023-04-19,72.51
2023-04-18,72.71
2023-04-17,72.70
2023-04-14,72.43
2023-04-13,72.63
2023-04-12,72.28
2023-04-11,72.35
2023-04-10,72.15
2023-04-06,71.92
2023-04-05,71.91
2023-04-04,72.26
2023-04-03,72.49
2023-03-31,72.73
2023-03-30,72.15
2023-03-29,71.81
2023-03-28,71.35
2023-03-27,71.31
2023-03-24,71.15
2023-03-23,71.28
2023-03-22,71.16
2023-03-21,71.69
2023-03-20,70.98
2023-03-17,70.80
2023-03-16,71.32
2023-03-15,70.93
2023-03-14,71.56
2023-03-13,71.24
2023-03-10,71.50
2023-03-09,72.31
2023-03-08,73.05
2023-03-07,73.14
2023-03-06,73.39
2023-03-03,73.55
2023-03-02,73.02
2023-03-01,72.83
2023-02-28,72.79
2023-02-27,72.77
2023-02-24,72.69
2023-02-23,73.21
2023-02-22,73.20
2023-02-21,72.97
2023-02-17,73.80
2023-02-16,74.23
2023-02-15,74.79
2023-02-14,74.34
2023-02-13,74.12
2023-02-10,73.83
2023-02-09,74.17
2023-02-08,74.51
2023-02-07,74.68
2023-02-06,74.30
2023-02-03,74.76
2023-02-02,75.33
2023-02-01,74.31
2023-01-31,73.78
2023-01-30,73.36
2023-01-27,73.86
2023-01-26,73.47
2023-01-25,73.09
2023-01-24,73.20
2023-01-23,73.36
2023-01-20,72.69
2023-01-19,72.04
2023-01-18,72.41
2023-01-17,72.67
2023-01-13,72.34
2023-01-12,72.03
2023-01-11,71.47
2023-01-10,70.99
2023-01-09,70.54
2023-01-06,70.16
2023-01-05,69.77
2023-01-04,69.88
2023-01-03,69.33
2022-12-30,69.37
2022-12-29,69.33
2022-12-28,68.79
2022-12-27,69.24
2022-12-23,69.55
2022-12-22,69.62
2022-12-21,70.08
2022-12-20,69.63
2022-12-19,69.59
2022-12-16,70.03
2022-12-15,70.36
2022-12-14,71.45
2022-12-13,71.43
2022-12-12,71.07
2022-12-09,70.62
2022-12-08,70.93
2022-12-07,70.65
2022-12-06,70.80
2022-12-05,71.41
2022-12-02,72.04
2022-12-01,71.98
2022-11-30,71.57
2022-11-29,70.78
2022-11-28,70.68
2022-11-25,71.08
2022-11-23,71.06
2022-11-22,70.74
2022-11-21,70.51
2022-11-18,70.76
2022-11-17,70.72
2022-11-16,71.16
2022-11-15,71.76
2022-11-14,71.00
2022-11-11,71.23
2022-11-10,70.53
2022-11-09,68.83
2022-11-08,69.84
2022-11-07,69.68
2022-11-04,69.57
2022-11-03,69.53
2022-11-02,69.79
2022-11-01,70.65
2022-10-31,70.75
2022-10-28,70.74
2022-10-27,70.33
2022-10-26,70.38
2022-10-25,70.33
2022-10-24,69.57
2022-10-21,69.63
2022-10-20,69.35
2022-10-19,69.49
2022-10-18,70.00
2022-10-17,69.39
2022-10-14,68.67
2022-10-13,69.31
2022-10-12,69.20
2022-10-11,69.36
2022-10-10,69.81
2022-10-07,70.45
2022-10-06,71.15
2022-10-05,71.27
2022-10-04,71.23
2022-10-03,69.75
2022-09-30,69.20
2022-09-29,69.55
2022-09-28,70.11
2022-09-27,69.50
2022-09-26,69.28
2022-09-23,69.79
2022-09-22,70.75
2022-09-21,71.69
2022-09-20,72.25
2022-09-19,72.81
2022-09-16,72.78
2022-09-15,73.50
2022-09-14,73.76
2022-09-13,73.61
2022-09-12,74.79
2022-09-09,74.30
2022-09-08,73.45
2022-09-07,72.97
2022-09-06,72.24
2022-09-02,72.52
2022-09-01,72.75
2022-08-31,73.48
2022-08-30,73.60
2022-08-29,73.82
2022-08-26,74.23
2022-08-25,75.13
2022-08-24,74.57
2022-08-23,74.17
2022-08-22,73.94
2022-08-19,74.69
2022-08-18,75.44
2022-08-17,75.24
2022-08-16,75.93
2022-08-15,76.08
2022-08-12,75.92
2022-08-11,75.26
2022-08-10,75.19
2022-08-09,73.98
2022-08-08,74.64
2022-08-05,74.23
2022-08-04,73.97
2022-08-03,73.73
2022-08-02,72.92
2022-08-01,72.60
2022-07-29,72.65
2022-07-28,72.31
2022-07-27,71.83
2022-07-26,70.97
2022-07-25,71.66
2022-07-22,71.73
2022-07-21,72.29
2022-07-20,71.81
2022-07-19,71.03
2022-07-18,70.17
2022-07-15,69.98
2022-07-14,69.50
2022-07-13,69.87
2022-07-12,69.85
2022-07-11,70.19
2022-07-08,70.91
2022-07-07,70.79
2022-07-06,70.00
2022-07-05,70.22
2022-07-01,69.72
2022-06-30,69.53
2022-06-29,70.07
2022-06-28,70.50
2022-06-27,71.17
2022-06-24,71.20
2022-06-23,70.01
2022-06-22,69.34
2022-06-21,69.36
2022-06-17,68.65
2022-06-16,68.49
2022-06-15,70.03
2022-06-14,69.56
2022-06-13,70.19
2022-06-10,72.16
2022-06-09,73.30
2022-06-08,74.25
2022-06-07,74.43
2022-06-06,73.89
2022-06-03,73.67
2022-06-02,74.17
2022-06-01,73.13
2022-05-31,73.51
2022-05-27,73.70
2022-05-26,72.58
2022-05-25,71.56
2022-05-24,70.92
2022-05-23,72.20
2022-05-20,71.95
2022-05-19,71.77
2022-05-18,71.54
2022-05-17,72.63
2022-05-16,71.69
2022-05-13,72.14
2022-05-12,70.51
2022-05-11,70.59
2022-05-10,71.81
2022-05-09,72.21
2022-05-06,74.76
2022-05-05,76.22
2022-05-04,77.97
2022-05-03,77.45
2022-05-02,77.68
2022-04-29,77.40
2022-04-28,78.42
2022-04-27,77.87
2022-04-26,78.12
2022-04-25,79.46
2022-04-22,78.95
2022-04-21,80.07
2022-04-20,81.48
2022-04-19,82.05
2022-04-18,81.30
2022-04-14,81.85
2022-04-13,82.32
2022-04-12,81.23
2022-04-11,81.40
2022-04-08,81.50
2022-04-07,81.97
2022-04-06,82.20
2022-04-05,83.35
2022-04-04,84.38
2022-04-01,83.55
2022-03-31,83.30
2022-03-30,83.73
2022-03-29,84.27
2022-03-28,83.20
2022-03-25,82.80
2022-03-24,83.22
2022-03-23,82.54
2022-03-22,83.00
2022-03-21,82.04
2022-03-18,82.33
2022-03-17,81.13
2022-03-16,80.24
2022-03-15,78.28
2022-03-14,77.78
2022-03-11,79.14
2022-03-10,80.31
2022-03-09,80.61
2022-03-08,79.15
2022-03-07,79.07
2022-03-04,80.85
2022-03-03,81.99
2022-03-02,83.08
2022-03-01,82.60
2022-02-28,83.27
2022-02-25,82.66
2022-02-24,81.75
2022-02-23,80.24
2022-02-22,81.25
2022-02-18,81.97
2022-02-17,83.00
2022-02-16,84.44
2022-02-15,84.73
2022-02-14,83.32
2022-02-11,83.71
2022-02-10,84.77
2022-02-09,85.18
2022-02-08,83.76
2022-02-07,83.03
2022-02-04,82.79
2022-02-03,81.76
2022-02-02,83.10
2022-02-01,83.72
2022-01-31,83.03
2022-01-28,81.08
2022-01-27,80.26
2022-01-26,80.93
2022-01-25,81.30
2022-01-24,82.37
2022-01-21,82.20
2022-01-20,83.70
2022-01-19,84.01
2022-01-18,84.51
2022-01-14,85.67
2022-01-13,85.80
2022-01-12,87.09
2022-01-11,87.14
2022-01-10,86.15
2022-01-07,86.30
2022-01-06,86.64
2022-01-05,86.56
2022-01-04,88.53
2022-01-03,89.44
2021-12-31,89.28
2021-12-30,89.52
2021-12-29,89.05
2021-12-28,89.17
2021-12-27,89.77
2021-12-23,89.67
2021-12-22,89.31
2021-12-21,88.93
2021-12-20,87.09
2021-12-17,87.88
2021-12-16,87.07
2021-12-15,88.65
2021-12-14,87.98
2021-12-13,88.82
2021-12-10,89.65
2021-12-09,90.15
2021-12-08,91.41
2021-12-07,90.42
2021-12-06,88.63
2021-12-03,88.31
2021-12-02,89.81
2021-12-01,89.29
2021-11-30,97.28
2021-11-29,98.46
2021-11-26,98.33
2021-11-24,99.68
2021-11-23,99.11
2021-11-22,99.73
2021-11-19,101.09
2021-11-18,101.61
2021-11-17,102.51
2021-11-16,103.59
2021-11-15,103.35
2021-11-12,103.55
2021-11-11,102.99
2021-11-10,102.75
2021-11-09,104.18
2021-11-08,104.26
2021-11-05,103.83
2021-11-04,103.19
2021-11-03,103.12
2021-11-02,102.89
2021-11-01,103.40
2021-10-29,102.27
2021-10-28,102.27
2021-10-27,101.18
2021-10-26,102.10
2021-10-25,102.65
2021-10-22,102.33
2021-10-21,103.22
2021-10-20,102.77
2021-10-19,102.72
2021-10-18,102.24
2021-10-15,102.08
2021-10-14,101.92
2021-10-13,101.26
2021-10-12,100.47
2021-10-11,99.64
2021-10-08,100.16
2021-10-07,100.81
2021-10-06,99.73
2021-10-05,99.54
2021-10-04,98.96
2021-10-01,100.54
2021-09-30,99.72
2021-09-29,99.71
2021-09-28,100.40
2021-09-27,102.33
2021-09-24,102.51
2021-09-23,102.61
2021-09-22,101.73
2021-09-21,100.76
2021-09-20,100.59
2021-09-17,101.93
2021-09-16,101.76
2021-09-15,101.48
2021-09-14,101.05
2021-09-13,101.33
2021-09-10,101.37
2021-09-09,101.93
2021-09-08,102.05
2021-09-07,103.00
2021-09-03,103.09
2021-09-02,102.63
2021-09-01,102.25
2021-08-31,101.77
2021-08-30,101.69
2021-08-27,101.63
2021-08-26,100.48
2021-08-25,100.98
2021-08-24,100.37
2021-08-23,99.14
2021-08-20,98.01
2021-08-19,97.29
2021-08-18,97.77
2021-08-17,98.00
2021-08-16,98.58
2021-08-13,99.56
2021-08-12,100.04
2021-08-11,100.10
2021-08-10,100.08
2021-08-09,100.46
2021-08-06,100.25
2021-08-05,100.84
2021-08-04,99.92
2021-08-03,99.92
2021-08-02,100.02
2021-07-30,99.84
2021-07-29,100.33
2021-07-28,100.41
2021-07-27,99.26
2021-07-26,100.37
2021-07-23,100.67
2021-07-22,100.29
2021-07-21,100.44
2021-07-20,99.11
2021-07-19,97.51
2021-07-16,97.88
2021-07-15,98.53
2021-07-14,99.24
2021-07-13,100.37
2021-07-12,100.97
2021-07-09,101.21
2021-07-08,100.15
2021-07-07,101.00
2021-07-06,101.80
2021-07-02,101.76
2021-07-01,101.86
2021-06-30,102.01
2021-06-29,102.56
2021-06-28,102.55
2021-06-25,102.36
2021-06-24,102.24
2021-06-23,101.38
2021-06-22,100.76
2021-06-21,100.48
2021-06-18,100.23
2021-06-17,100.41
2021-06-16,99.67
2021-06-15,99.60
2021-06-14,100.48
2021-06-11,100.11
2021-06-10,99.57
2021-06-09,98.88
2021-06-08,99.15
2021-06-07,98.73
2021-06-04,98.18
2021-06-03,97.53
2021-06-02,98.82
2021-06-01,98.73
2021-05-28,98.72
2021-05-27,98.62
2021-05-26,97.99
2021-05-25,96.99
2021-05-24,96.95
2021-05-21,95.94
2021-05-20,96.01
2021-05-19,94.69
2021-05-18,95.00
2021-05-17,94.79
2021-05-14,94.89
2021-05-13,92.85
2021-05-12,93.61
2021-05-11,95.78
2021-05-10,95.57
2021-05-07,97.46
2021-05-06,96.52
2021-05-05,97.63
2021-05-04,98.20
2021-05-03,99.77
2021-04-30,100.71
2021-04-29,101.44
2021-04-28,102.51
2021-04-27,102.66
2021-04-26,102.77
2021-04-23,101.53
2021-04-22,100.05
2021-04-21,100.05
2021-04-20,98.76
2021-04-19,100.11
2021-04-16,101.10
2021-04-15,101.55
2021-04-14,100.83
2021-04-13,101.53
2021-04-12,100.62
2021-04-09,100.85
2021-04-08,101.09
2021-04-07,99.98
2021-04-06,100.74
2021-04-05,99.75
2021-04-01,99.56
2021-03-31,98.02
2021-03-30,96.47
2021-03-29,95.61
2021-03-26,96.99
2021-03-25,96.11
2021-03-24,95.95
2021-03-23,98.62
2021-03-22,100.17
2021-03-19,99.87
2021-03-18,99.12
2021-03-17,102.12
2021-03-16,102.03
2021-03-15,103.14
2021-03-12,102.30
2021-03-11,102.53
2021-03-10,99.64
2021-03-09,99.86
2021-03-08,96.48
2021-03-05,98.63
2021-03-04,99.04
2021-03-03,101.96
2021-03-02,104.43
2021-03-01,106.11
2021-02-26,103.43
2021-02-25,102.93
2021-02-24,106.36
2021-02-23,105.64
2021-02-22,106.22
2021-02-19,109.37
